pixel_id,latitude,longitude,pixel_col,pixel_row,observation_count
SIN_9079_25940,52.16741434,-117.2458651,25940,9079,618
SIN_9080_25938,52.16292276,-117.2503567,25938,9080,617
SIN_9080_25939,52.16292276,-117.2413735,25939,9080,583
SIN_9080_25939,52.16292276,-117.2458651,25939,9080,583
SIN_9080_25940,52.16292276,-117.2368819,25940,9080,556
SIN_9080_25941,52.16292276,-117.2323904,25941,9080,539
SIN_9081_25928,52.15843118,-117.3042556,25928,9081,601
SIN_9081_25929,52.15843118,-117.299764,25929,9081,607
SIN_9081_25930,52.15843118,-117.2952724,25930,9081,628
SIN_9081_25930,52.15843118,-117.2907809,25930,9081,628
SIN_9081_25931,52.15843118,-117.2817977,25931,9081,639
SIN_9081_25931,52.15843118,-117.2862893,25931,9081,639
SIN_9081_25932,52.15843118,-117.2773061,25932,9081,647
SIN_9081_25933,52.15843118,-117.268323,25933,9081,658
SIN_9081_25933,52.15843118,-117.2728146,25933,9081,658
SIN_9081_25934,52.15843118,-117.2638314,25934,9081,653
SIN_9081_25935,52.15843118,-117.2593398,25935,9081,637
SIN_9081_25935,52.15843118,-117.2548482,25935,9081,637
SIN_9081_25936,52.15843118,-117.2503567,25936,9081,607
SIN_9081_25937,52.15843118,-117.2413735,25937,9081,579
SIN_9081_25938,52.15843118,-117.2368819,25938,9081,561
SIN_9081_25939,52.15843118,-117.2323904,25939,9081,555
SIN_9081_25939,52.15843118,-117.2278988,25939,9081,555
SIN_9081_25940,52.15843118,-117.2234072,25940,9081,531
SIN_9081_25941,52.15843118,-117.2189156,25941,9081,540
SIN_9083_25926,52.15393961,-117.3042556,25926,9083,613
SIN_9083_25927,52.15393961,-117.299764,25927,9083,625
SIN_9083_25928,52.15393961,-117.2907809,25928,9083,633
SIN_9083_25928,52.15393961,-117.2952724,25928,9083,633
SIN_9083_25929,52.15393961,-117.2862893,25929,9083,635
SIN_9083_25930,52.15393961,-117.2817977,25930,9083,643
SIN_9083_25930,52.15393961,-117.2773061,25930,9083,643
SIN_9083_25931,52.15393961,-117.2728146,25931,9083,638
SIN_9083_25932,52.15393961,-117.2638314,25932,9083,625
SIN_9083_25932,52.15393961,-117.268323,25932,9083,625
SIN_9083_25933,52.15393961,-117.2593398,25933,9083,592
SIN_9083_25934,52.15393961,-117.2548482,25934,9083,563
SIN_9083_25935,52.15393961,-117.2458651,25935,9083,559
SIN_9083_25936,52.15393961,-117.2368819,25936,9083,569
SIN_9083_25936,52.15393961,-117.2413735,25936,9083,569
SIN_9083_25937,52.15393961,-117.2323904,25937,9083,585
SIN_9083_25938,52.15393961,-117.2278988,25938,9083,581
SIN_9083_25938,52.15393961,-117.2234072,25938,9083,581
SIN_9083_25939,52.15393961,-117.2189156,25939,9083,564
SIN_9083_25940,52.15393961,-117.2144241,25940,9083,546
SIN_9083_25940,52.15393961,-117.2099325,25940,9083,546
SIN_9083_25946,52.15393961,-117.1695083,25946,9083,611
SIN_9083_25947,52.15393961,-117.1650167,25947,9083,664
SIN_9083_25948,52.15393961,-117.1560336,25948,9083,622
SIN_9083_25948,52.15393961,-117.1605251,25948,9083,622
SIN_9084_25925,52.14944803,-117.299764,25925,9084,624
SIN_9084_25926,52.14944803,-117.2952724,25926,9084,624
SIN_9084_25927,52.14944803,-117.2862893,25927,9084,634
SIN_9084_25927,52.14944803,-117.2907809,25927,9084,634
SIN_9084_25928,52.14944803,-117.2817977,25928,9084,645
SIN_9084_25929,52.14944803,-117.2728146,25929,9084,636
SIN_9084_25929,52.14944803,-117.2773061,25929,9084,636
SIN_9084_25930,52.14944803,-117.268323,25930,9084,641
SIN_9084_25931,52.14944803,-117.2638314,25931,9084,629
SIN_9084_25931,52.14944803,-117.2593398,25931,9084,629
SIN_9084_25932,52.14944803,-117.2548482,25932,9084,580
SIN_9084_25934,52.14944803,-117.2413735,25934,9084,560
SIN_9084_25935,52.14944803,-117.2368819,25935,9084,588
SIN_9084_25935,52.14944803,-117.2323904,25935,9084,588
SIN_9084_25936,52.14944803,-117.2278988,25936,9084,589
SIN_9084_25939,52.14944803,-117.2099325,25939,9084,509
SIN_9084_25943,52.14944803,-117.1784914,25943,9084,595
SIN_9084_25944,52.14944803,-117.1739999,25944,9084,571
SIN_9084_25945,52.14944803,-117.1695083,25945,9084,541
SIN_9085_25924,52.14495645,-117.2952724,25924,9085,638
SIN_9085_25925,52.14495645,-117.2907809,25925,9085,637
SIN_9085_25926,52.14495645,-117.2817977,25926,9085,644
SIN_9085_25926,52.14495645,-117.2862893,25926,9085,644
SIN_9085_25927,52.14495645,-117.2773061,25927,9085,643
SIN_9085_25928,52.14495645,-117.268323,25928,9085,638
SIN_9085_25928,52.14495645,-117.2728146,25928,9085,638
SIN_9085_25929,52.14495645,-117.2638314,25929,9085,636
SIN_9085_25930,52.14495645,-117.2548482,25930,9085,612
SIN_9085_25930,52.14495645,-117.2593398,25930,9085,612
SIN_9085_25931,52.14495645,-117.2503567,25931,9085,562
SIN_9085_25932,52.14495645,-117.2413735,25932,9085,543
SIN_9085_25933,52.14495645,-117.2368819,25933,9085,591
SIN_9085_25934,52.14495645,-117.2323904,25934,9085,595
SIN_9085_25934,52.14495645,-117.2278988,25934,9085,595
SIN_9085_25935,52.14495645,-117.2234072,25935,9085,586
SIN_9085_25940,52.14495645,-117.1874746,25940,9085,620
SIN_9085_25941,52.14495645,-117.1784914,25941,9085,599
SIN_9085_25941,52.14495645,-117.182983,25941,9085,599
SIN_9085_25942,52.14495645,-117.1739999,25942,9085,577
SIN_9086_25923,52.14046488,-117.2907809,25923,9086,648
SIN_9086_25923,52.14046488,-117.2952724,25923,9086,648
SIN_9086_25924,52.14046488,-117.2862893,25924,9086,658
SIN_9086_25925,52.14046488,-117.2817977,25925,9086,666
SIN_9086_25925,52.14046488,-117.2773061,25925,9086,666
SIN_9086_25926,52.14046488,-117.2728146,25926,9086,655
SIN_9086_25927,52.14046488,-117.268323,25927,9086,662
SIN_9086_25927,52.14046488,-117.2638314,25927,9086,662
SIN_9086_25928,52.14046488,-117.2593398,25928,9086,651
SIN_9086_25928,52.14046488,-117.2548482,25928,9086,651
SIN_9086_25929,52.14046488,-117.2503567,25929,9086,602
SIN_9086_25932,52.14046488,-117.2278988,25932,9086,590
SIN_9086_25933,52.14046488,-117.2234072,25933,9086,614
SIN_9086_25934,52.14046488,-117.2189156,25934,9086,606
SIN_9086_25934,52.14046488,-117.2144241,25934,9086,606
SIN_9086_25935,52.14046488,-117.2099325,25935,9086,597
SIN_9086_25936,52.14046488,-117.2054409,25936,9086,602
SIN_9086_25936,52.14046488,-117.2009493,25936,9086,602
SIN_9086_25937,52.14046488,-117.1964578,25937,9086,620
SIN_9086_25938,52.14046488,-117.1874746,25938,9086,627
SIN_9086_25938,52.14046488,-117.1919662,25938,9086,627
SIN_9086_25939,52.14046488,-117.182983,25939,9086,625
SIN_9087_25921,52.1359733,-117.2907809,25921,9087,649
SIN_9087_25922,52.1359733,-117.2862893,25922,9087,657
SIN_9087_25923,52.1359733,-117.2773061,25923,9087,677
SIN_9087_25923,52.1359733,-117.2817977,25923,9087,677
SIN_9087_25924,52.1359733,-117.2728146,25924,9087,671
SIN_9087_25925,52.1359733,-117.268323,25925,9087,667
SIN_9087_25925,52.1359733,-117.2638314,25925,9087,667
SIN_9087_25926,52.1359733,-117.2593398,25926,9087,662
SIN_9087_25927,52.1359733,-117.2503567,25927,9087,656
SIN_9087_25927,52.1359733,-117.2548482,25927,9087,656
SIN_9087_25928,52.1359733,-117.2458651,25928,9087,634
SIN_9087_25929,52.1359733,-117.2368819,25929,9087,620
SIN_9087_25929,52.1359733,-117.2413735,25929,9087,620
SIN_9087_25930,52.1359733,-117.2323904,25930,9087,618
SIN_9087_25931,52.1359733,-117.2234072,25931,9087,646
SIN_9087_25931,52.1359733,-117.2278988,25931,9087,646
SIN_9087_25932,52.1359733,-117.2189156,25932,9087,662
SIN_9087_25933,52.1359733,-117.2099325,25933,9087,660
SIN_9087_25933,52.1359733,-117.2144241,25933,9087,660
SIN_9087_25934,52.1359733,-117.2054409,25934,9087,656
SIN_9087_25935,52.1359733,-117.1964578,25935,9087,659
SIN_9087_25935,52.1359733,-117.2009493,25935,9087,659
SIN_9087_25936,52.1359733,-117.1919662,25936,9087,652
SIN_9088_25920,52.13148173,-117.2862893,25920,9088,648
SIN_9088_25921,52.13148173,-117.2817977,25921,9088,664
SIN_9088_25922,52.13148173,-117.2728146,25922,9088,663
SIN_9088_25922,52.13148173,-117.2773061,25922,9088,663
SIN_9088_25923,52.13148173,-117.268323,25923,9088,674
SIN_9088_25924,52.13148173,-117.2638314,25924,9088,674
SIN_9088_25924,52.13148173,-117.2593398,25924,9088,674
SIN_9088_25925,52.13148173,-117.2548482,25925,9088,682
SIN_9088_25926,52.13148173,-117.2458651,25926,9088,684
SIN_9088_25926,52.13148173,-117.2503567,25926,9088,684
SIN_9088_25927,52.13148173,-117.2413735,25927,9088,684
SIN_9088_25928,52.13148173,-117.2323904,25928,9088,683
SIN_9088_25928,52.13148173,-117.2368819,25928,9088,683
SIN_9088_25929,52.13148173,-117.2278988,25929,9088,688
SIN_9088_25930,52.13148173,-117.2234072,25930,9088,700
SIN_9089_25919,52.12699015,-117.2817977,25919,9089,655
SIN_9089_25920,52.12699015,-117.2773061,25920,9089,656
SIN_9089_25921,52.12699015,-117.2728146,25921,9089,658
SIN_9089_25921,52.12699015,-117.268323,25921,9089,658
SIN_9089_25922,52.12699015,-117.2638314,25922,9089,667
SIN_9089_25923,52.12699015,-117.2548482,25923,9089,687
SIN_9089_25923,52.12699015,-117.2593398,25923,9089,687
SIN_9089_25924,52.12699015,-117.2503567,25924,9089,696
SIN_9089_25925,52.12699015,-117.2458651,25925,9089,693
SIN_9089_25925,52.12699015,-117.2413735,25925,9089,693
SIN_9089_25927,52.12699015,-117.2323904,25927,9089,704
SIN_9089_25927,52.12699015,-117.2278988,25927,9089,704
SIN_9089_25929,52.12699015,-117.2189156,25929,9089,692
SIN_9090_25919,52.12249857,-117.2728146,25919,9090,667
SIN_9090_25920,52.12249857,-117.268323,25920,9090,667
SIN_9090_25920,52.12249857,-117.2638314,25920,9090,667
SIN_9090_25921,52.12249857,-117.2593398,25921,9090,669
SIN_9090_25922,52.12249857,-117.2548482,25922,9090,676
SIN_9090_25922,52.12249857,-117.2503567,25922,9090,676
SIN_9090_25923,52.12249857,-117.2458651,25923,9090,672
SIN_9090_25924,52.12249857,-117.2413735,25924,9090,690
SIN_9090_25924,52.12249857,-117.2368819,25924,9090,690
SIN_9090_25925,52.12249857,-117.2323904,25925,9090,682
SIN_9090_25925,52.12249857,-117.2278988,25925,9090,682
SIN_9090_25926,52.12249857,-117.2234072,25926,9090,657
SIN_9090_25927,52.12249857,-117.2189156,25927,9090,668
SIN_9091_25918,52.118007,-117.2638314,25918,9091,649
SIN_9091_25918,52.118007,-117.268323,25918,9091,649
SIN_9091_25919,52.118007,-117.2593398,25919,9091,650
SIN_9091_25920,52.118007,-117.2503567,25920,9091,651
SIN_9091_25920,52.118007,-117.2548482,25920,9091,651
SIN_9092_25917,52.11351542,-117.2593398,25917,9092,628
